name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Da Nang,2023-03-11 00:00:00,22.0,22.0,19.0,83.14,0.0,0,,0.0,0.0,10.1,5.4,240.0,1015.0,50.0,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 01:00:00,22.1,22.1,19.2,83.9,0.0,0,,0.0,0.0,11.2,1.5,230.0,1014.2,78.5,16.6,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 02:00:00,22.0,22.0,19.0,83.14,0.0,0,,0.0,0.0,9.7,0.0,359.0,1014.0,50.0,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 03:00:00,22.0,22.0,19.0,83.14,0.0,0,,0.0,0.0,9.7,0.0,359.0,1014.0,50.0,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 04:00:00,20.5,20.5,19.1,91.53,0.0,0,,0.0,0.0,9.4,0.0,173.0,1013.9,78.5,16.6,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 05:00:00,20.0,20.0,18.0,88.29,0.0,0,,0.0,0.0,7.9,3.6,210.0,1014.0,28.6,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 06:00:00,20.0,20.0,18.0,88.29,0.0,0,,0.0,0.0,7.2,1.8,200.0,1015.0,28.6,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 07:00:00,20.5,20.5,18.4,87.56,0.0,0,,0.0,0.0,8.3,0.0,158.8,1016.1,71.4,16.6,56.3,0.2,1,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 08:00:00,23.0,23.0,19.0,78.26,0.0,0,,0.0,0.0,11.9,0.0,359.0,1017.0,50.0,8.0,230.6,0.8,2,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999"
Da Nang,2023-03-11 09:00:00,25.0,25.0,19.0,69.37,0.0,0,,0.0,0.0,16.6,1.8,230.0,1017.0,89.3,10.0,395.8,1.4,4,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999"
