name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Việt Nam",2023-03-11 00:00:00,22.0,22.0,19.0,83.11,0.0,0,,0,0,21.2,13.0,120.0,1015.0,0.0,4.0,0.0,0.0,0,,Clear,clear-night,"48820099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 01:00:00,20.8,20.8,19.1,90.14,0.0,0,,0,0,22.3,9.2,139.0,1014.3,70.2,7.5,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,48825099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 02:00:00,21.0,21.0,19.0,88.35,0.0,0,,0,0,21.2,11.2,80.0,1014.0,89.0,3.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 03:00:00,21.0,21.0,19.0,88.35,0.0,0,,0,0,20.5,14.8,100.0,1014.0,89.0,4.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 04:00:00,21.1,21.1,19.4,90.16,0.0,0,,0,0,20.2,5.6,92.0,1014.1,100.0,4.4,0.0,0.0,0,,Overcast,cloudy,"48820099999,48825099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 05:00:00,21.0,21.0,19.0,88.35,0.0,0,,0,0,20.2,16.6,90.0,1015.0,89.0,5.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 06:00:00,21.0,21.0,19.0,88.35,0.0,0,,0,0,19.1,14.8,100.0,1015.0,89.0,5.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48820099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 07:00:00,21.2,21.2,19.4,89.45,0.0,0,,0,0,21.6,5.2,92.0,1016.1,96.1,3.6,15.7,0.1,0,,Overcast,cloudy,"48820099999,48825099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 08:00:00,22.0,22.0,19.0,83.11,0.1,100,rain,0,0,22.7,13.0,100.0,1017.0,100.0,4.0,53.4,0.2,1,,"Rain, Overcast",rain,"48820099999,VVNB"
"Hà Nội, Việt Nam",2023-03-11 09:00:00,21.0,21.0,19.0,88.35,0.3,100,rain,0,0,23.8,9.4,90.0,1018.0,100.0,1.0,135.1,0.5,1,,"Rain, Overcast",rain,"48820099999,VVNB"
