name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh City,2023-03-11 00:00:00,25.0,25.0,22.0,83.45,0.0,0,,0,0,23.0,13.0,140.0,1012.0,27.0,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-03-11 01:00:00,24.0,24.0,21.9,88.17,0.0,0,,0,0,22.3,12.4,126.0,1012.0,25.4,11.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-03-11 02:00:00,24.0,24.0,22.0,88.6,0.0,0,,0,0,17.6,13.0,140.0,1011.0,27.0,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-03-11 03:00:00,24.0,24.0,22.0,88.6,0.0,0,,0,0,15.1,7.6,130.0,1011.0,27.0,10.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-03-11 04:00:00,23.9,23.9,21.9,88.85,0.0,0,,0,0,12.6,4.3,120.0,1011.1,27.3,11.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-03-11 05:00:00,24.0,24.0,22.0,88.6,0.0,0,,0,0,11.2,13.0,110.0,1012.0,27.0,8.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-03-11 06:00:00,23.0,23.0,22.0,94.11,0.0,0,,0,0,11.2,13.0,110.0,1012.0,27.0,7.0,0.0,0.0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-03-11 07:00:00,23.9,23.9,21.9,88.49,0.0,0,,0,0,15.8,8.1,74.0,1013.0,27.3,8.3,61.9,0.2,1,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-03-11 08:00:00,25.0,25.0,22.0,83.45,0.0,0,,0,0,22.7,9.4,90.0,1014.0,27.0,8.0,281.5,1.0,3,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-03-11 09:00:00,27.0,29.2,22.0,74.14,0.0,0,,0,0,22.7,3.6,96.5,1014.0,27.0,8.0,521.7,1.9,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
